num,v1,v2,conf,agree,authoritative_line
0082,rides-accepted,host-extension,verdict-section,false,"**Host-extension — no new RFC.** A `providerRegistry` entry + a node-pack typeId on the"
0083,host-extension,host-extension,verdict-section,true,"**Host-extension — no new RFC.** No normative `artifact.created` run event is emitted (that"
0084,rides-accepted,rides-accepted,verdict-section,true,"**Host-extension under `/v1/host/openwop-app/notebooks/*` → NO RFC.** Composes implemented ADRs (0011/0041/0042/0043/0046/0053/0054/0072) and rides Accepted RFC"
0085,new-rfc,rides-accepted,verdict-section,false,"**Host work that RIDES the already-Accepted RFC 0091 — NO new RFC.** Audio input on `ctx.callAI` is standardized and `Accepted`; this ADR is the conformant host"
0086,rides-accepted,new-rfc,verdict-section,false,"**⛔ BLOCKED on new RFC 0105 (speech-synthesis adapter, `ctx.callSpeechSynthesizer`) reaching ≥ `Accepted` before/with this host work.** Text→speech is the **one"
0087,rides-accepted,rides-accepted,verdict-section,true,"**Rides Accepted RFC 0020 + RFC 0078 — NO new RFC.** Inbound MCP server-mount, the `serverMount` capability block, the 8 `core.openwop.mcp.*` nodes, the untrust"
0088,host-extension,host-extension,inline,true,"- **Relation to the wire:** none. The run-event stream rides the already-spec'd `stream-modes.md` surface; notifications/kanban are non-normative `/v1/host/open"
0089,host-extension,host-extension,explicit-gate,true,"- **RFC gate:** **NO new RFC.** `openwop-app.conversation` is a host workflow under the app's own namespace, and the only tool event surfaced (`agent.toolReturn"
0099,host-extension,host-extension,verdict-section,true,"**Host-internal — NO new RFC, rides no RFC.** Compaction is a deterministic in-process"
0100,host-extension,host-extension,verdict-section,true,"**Host-internal — NO new RFC, rides no new RFC.** Every primitive exists: KB collections + ingest +"
0101,rides-accepted,rides-accepted,inline,true,"**Surface:** host runtime + the agent-workspace UI. No OpenWOP wire field, capability flag, or run-event. **NON-NORMATIVE — no new RFC** (Phase 4 rides the alre"
0101,host-extension,host-extension,inline,true,"> **Correction (implementation):** the /architect review flagged the > `providers.json` flags as dishonest (all `false`). That was a misread — the > `webSearch`"
0102,host-extension,host-extension,verdict-section,true,"**Host-extension — NO new RFC.** Everything here is the non-normative"
0102,rides-accepted,host-extension,inline,false,"**NON-NORMATIVE — no new RFC.**"
0103,new-rfc,host-extension,verdict-section,false,"**Host-extension only — no new RFC.** Routes stay under `/v1/host/openwop-app/priority-matrix/*`"
0104,host-extension,host-extension,verdict-section,true,"**Host-extension only — no new RFC.** Routes live under `/v1/host/openwop-app/agent-allowlists/admin/*`"
0105,host-extension,host-extension,inline,true,"**Surface:** host runtime only. No wire change. **NON-NORMATIVE — no new RFC.**"
0106,host-extension,host-extension,verdict-section,true,"**Host-internal — no new RFC.** Caps, usage accounting, and the pre-flight estimate are"
0107,host-extension,host-extension,verdict-section,true,"**Host assembly over Accepted RFCs + implemented ADRs — NO new RFC.** Connections (RFC 0046 credentials), the scheduler, trigger-ingestion (RFC 0099), and SSRF "
0108,rides-accepted,host-extension,verdict-section,false,"**Host-assembly over an Accepted RFC + a host service — NO new RFC.** Multimodal `callAI`/dispatch (image+audio parts) is accepted (RFC 0091); `dispatchManagedC"
0109,rides-accepted,rides-accepted,verdict-section,true,"This is **host work riding RFC 0106 (`Active`)** — no new RFC needed; the wire is locked and this"
0110,host-extension,host-extension,verdict-section,true,"**Host-assembly over existing seams — NO new RFC.** The binding is a host-extension setting under `/v1/host/openwop-app/*`; the modality map is internal (not th"
0111,host-extension,host-extension,verdict-section,true,"**Host-internal, no wire change — NO new RFC.** `ContentPart` is unchanged; the File API is an internal `dispatchGoogle` mechanism; the cap is host config. No c"
0112,host-extension,host-extension,explicit-gate,true,"**RFC verdict:** **host-ext, NO new RFC.** A read-only index + a `/v1/host/openwop-app/chat/search` query route are non-normative host extensions; nothing touch"
0113,rides-accepted,rides-accepted,explicit-gate,true,"**RFC verdict:** **host-ext, NO new RFC.** Hybrid fusion + a rerank stage are host-internal retrieval mechanics over the already-Accepted RFC 0018 vector surfac"
0114,new-rfc,host-extension,verdict-section,false,"**Default host-extension — NO new RFC.** The node rides the implemented `core.openwop.ai` delegation pattern + the ADR 0055 artifact registry + the existing run"
0115,new-rfc,rides-accepted,verdict-section,false,"**Default host-extension — NO new RFC.** It implements an **already-defined** host capability (`callImageGenerator`, the `callSpeechSynthesizer`/RFC 0105 siblin"
0116,new-rfc,host-extension,verdict-section,false,"**Host-extension over Accepted RFC 0028/0029 — NO new RFC.** The prompt-template engine"
0117,rides-accepted,host-extension,verdict-section,false,"**Host-extension — NO new RFC.** The branch-lineage pointer (`branchedFrom`) + the compare layout are the non-normative `/v1/host/openwop-app/chat/*` projection"
0118,rides-accepted,host-extension,verdict-section,false,"**Host-extension — NO new RFC.** Span instrumentation, an OTLP export toggle, an optional Langfuse sink, and an admin usage dashboard are operational instrument"
0119,host-extension,host-extension,explicit-gate,true,"**RFC verdict:** **host-extension — NO new RFC.** Rendering a persisted transcript to markdown/JSON and rebuilding conversations through the existing `conversat"
0120,rides-accepted,rides-accepted,verdict-section,true,"**Host-extension — rides Accepted RFC 0004 (memory) / RFC 0048 (opaque owner) — NO new"
0121,new-rfc,new-rfc,verdict-section,true,"**NEEDS a new openwop RFC — blocks host work.** The host plumbing (dispatch case, Connection config, capability gate, headless wiring) is non-normative and ride"
0122,host-extension,host-extension,explicit-gate,true,"**RFC verdict:** **host-extension (non-normative public surface) — NO new RFC.** Conversation sharing is the ADR 0013 mechanism with one more resource type; the"
0123,rides-accepted,rides-accepted,verdict-section,true,"**Host-extension — NO new RFC.** The leaderboard is a read-only aggregation of recorded `MessageFeedback` (ADR 0071) joined to recorded model attribution (RFC 0"
0124,rides-accepted,rides-accepted,verdict-section,true,"**Host-extension — NO new RFC.** Provider/model selection already rides `run.inputs` on the existing non-normative chat conversation run (ADR 0067); the capabil"
0125,new-rfc,host-extension,verdict-section,false,"**Host-extension — NO new RFC.** This is host orchestration assembling Accepted/implemented seams: the scheduler daemon (RFC 0052), conversation-run dispatch (A"
0126,new-rfc,host-extension,verdict-section,false,"**EVALUATE → v1 = NO new RFC; presence + cross-host = NEW `openwop` RFC first.**"
0127,host-extension,host-extension,explicit-gate,true,"**RFC verdict:** **host-extension (non-normative public route) — NO new RFC.** The widget embeds the existing chat behind a host-owned public gateway under `/v1"
0128,host-extension,host-extension,verdict-section,true,"**EVALUATE → v1 = NO new RFC; a normative cross-host interactive type = NEW `openwop` RFC first.**"
0129,host-extension,host-extension,verdict-section,true,"**Pure-FE host concern — NO new RFC.** Rendering LaTeX + Mermaid is client-side display of content that already arrives as RFC 0005 conversation-turn text. No w"
0130,host-extension,host-extension,verdict-section,true,"**Host-extension — NO new RFC.** The router is a host-internal decision stage choosing among **already-advertised** providers (`aiProviders.supported[]`, `route"
0131,unclassified,unclassified,none,true,""
0132,rides-accepted,host-extension,verdict-section,false,"**Host-extension — NO new RFC.** The scope is a host-internal **narrowing** filter"
0133,new-rfc,host-extension,verdict-section,false,"**Host-extension — NO new RFC.** The deck is a read-only **projection** over"
0134,rides-accepted,host-extension,verdict-section,false,"**No new RFC.** Toggle state is a host-local operational concern; removing toggles"
0135,host-extension,host-extension,verdict-section,true,"**Host-extension — NO new RFC.** A host-internal composition-risk stage over"
0136,rides-accepted,host-extension,verdict-section,false,"**Host-extension — NO new RFC.** The ledger authors + reviews a contract whose"
0137,rides-accepted,host-extension,verdict-section,false,"**Host-extension — NO new RFC.** A read-only projection over already-durable runs + a"
0138,rides-accepted,rides-accepted,verdict-section,true,"**Rides RFC 0106 (`Active`) — no new RFC.** The wire (`callTranscriber` shape, the `voice.*`"
0139,host-extension,unclassified,verdict-section,false,"**Host-only IA + a host-extension config store under `/v1/host/openwop-app/*`.**"
0140,host-extension,host-extension,explicit-gate,true,"**RFC verdict:** **host-extension — NO new RFC.** Multi-tab is pure front-end composition over already-durable conversations + runs + run-event streams. No new "
0141,host-extension,host-extension,verdict-section,true,"**Host work — no new RFC.** The realtime providers are external; the browser↔provider session + the"
0142,rides-accepted,rides-accepted,inline,true,"**Composes:** ADR 0141 (realtime voice), ADR 0135 (Capability Firewall), ADR 0024/0108 (BYOK / key custody). Host-internal — no wire change, no RFC (rides RFC 0"
0143,host-extension,host-extension,inline,true,"**Composes:** ADR 0064 (CMS content localization — the `host/i18n/` locale infra this rides on), ADR 0065 (frontend i18n). Host-internal: rides the **already-ac"
0144,host-extension,host-extension,explicit-gate,true,"RFC verdict: **none — frontend information-architecture only; touches no wire.**"
0145,unclassified,host-extension,explicit-gate,false,"RFC verdict: **none — frontend information-architecture only; touches no wire.** (A thin **toggle-only** backend feature per console was needed after all — see "
0146,new-rfc,host-extension,verdict-section,false,"**Default host-extension — NO new RFC.** The WASM adapter is host work behind the **already-existing** `ctx.runSandboxedCode` seam (ADR 0114) — no new run/event"
0147,unclassified,host-extension,explicit-gate,false,"RFC verdict: **none — frontend composer UI only; no wire, no capability change.**"
0148,rides-accepted,rides-accepted,explicit-gate,true,"RFC verdict: **none.** Every lever in this ADR changes only **host-internal context assembly** — what bytes the host feeds its own LLM provider each iteration. "
0149,new-rfc,host-extension,verdict-section,false,"**Host-extension — NO new wire RFC for the library itself.** Authoring"
0150,rides-accepted,rides-accepted,verdict-section,true,"**Host-extension — NO new RFC.** The mode is a host-side policy over the existing capability-firewall; it reuses the **already-Accepted RFC 0005** interrupt pri"
0151,rides-accepted,rides-accepted,verdict-section,true,"**Host-extension — NO new RFC.** The title is a host-side display label on the chat-session store; `conversation.titled` is a **non-normative host event** on th"
0152,rides-accepted,host-extension,verdict-section,false,"**No new/amended RFC for the common case.** Authoring chain packs + a host loader rides the"
0153,new-rfc,host-extension,verdict-section,false,"**Track 1 needs NO new wire RFC.** Live canvas store/edit → already-Stable `host.canvas` +"
0154,new-rfc,host-extension,verdict-section,false,"**None.** Every move is host-side: rail wiring + chat chrome (pure frontend IA) and"
0155,rides-accepted,rides-accepted,explicit-gate,true,"| **RFC gate** | None — host work riding Accepted RFCs (RFC 0049 accessControl, RFC 0005 chat, RFC 0014 surface). **No new RFC.** |"
0156,host-extension,rides-accepted,explicit-gate,false,"| **RFC gate** | None — host work riding Accepted RFCs (RFC 0049, 0011 KB/RAG, RFC 0014 surface). **No new RFC.** |"
0157,host-extension,rides-accepted,explicit-gate,false,"| **RFC gate** | None — host work riding Accepted RFCs (0011, 0014, 0005). **No new RFC.** |"
0158,rides-accepted,unclassified,explicit-gate,false,"| **RFC gate** | **RFC 0118** (parallel fan-out) for the P1.5 parallel upgrade — **sequential fallback ships now** on the Accepted spec. Everything else rides A"
0159,rides-accepted,rides-accepted,explicit-gate,true,"| **RFC gate** | None — rides **Accepted RFC 0095** (connection packs) + the broker (ADR 0024/0037). **No new RFC.** |"
0160,host-extension,host-extension,explicit-gate,true,"| **RFC gate** | None — host work over the performance store. **No new RFC.** |"
0161,host-extension,host-extension,explicit-gate,true,"| **RFC gate** | None — host work over an already-registered artifact type. **No new RFC.** |"
0162,host-extension,host-extension,explicit-gate,true,"| **RFC gate** | None — host work composing already-registered feature surfaces + node packs. **No new RFC.** |"
0163,new-rfc,host-extension,verdict-section,false,"**Host-extension — no new wire RFC.** Listing installed chains, expanding (RFC 0013,"
0164,host-extension,host-extension,verdict-section,true,"**Host-extension — NO new RFC.** `/v1/host/openwop-app/chat/model-capabilities` is a non-normative host-extension route; tightening which providers it advertise"
0165,host-extension,unclassified,none,false,""
0166,new-rfc,host-extension,explicit-gate,false,"| **RFC gate** | None — host work composing the existing `documents` surface + node packs. **No new RFC.** |"
0167,new-rfc,host-extension,explicit-gate,false,"| **RFC gate** | **None.** Rides the **already-Accepted** RFC **0045** (connector-action model), **0046/0047** (host credentials + OAuth flows), **0079** (crede"
0168,rides-accepted,rides-accepted,inline,true,"- **CLI is a pure client.** It introduces no second run/conversation/auth/credential model — it calls the existing endpoints with the existing Bearer auth. The "
0169,host-extension,rides-accepted,inline,false,"openwop-app is the reference connection host, so it is the natural **witness #1** toward `Active → Accepted`. This is host work riding an `Active` RFC (no new R"
0170,host-extension,host-extension,explicit-gate,true,"| **RFC gate** | **None.** Pure host-extension under `/v1/host/openwop-app/*`, exactly like CMS's `/site-page` + `/public-site-config` (ADR 0027). No run-event "
0171,host-extension,host-extension,explicit-gate,true,"| **RFC gate** | **None.** Pure host-extension — the richer `Brand.identity` rides ADR 0170's existing `/app-brand` + `/public-brand` routes; no run-event field"
0172,host-extension,rides-accepted,inline,false,"**Track:** A (Software & App Architecture) — a host feature-package under `/v1/host/openwop-app/*`. **Nothing touches the OpenWOP wire** (no run-event field, ca"
0173,host-extension,host-extension,explicit-gate,true,"**RFC gate: none.** Pure host-extension."
0174,new-rfc,rides-accepted,explicit-gate,false,"**RFC gate: none.** Rides Accepted RFC 0013/0076/0003/0052/0096/0097; the only asterisk (true parallel batch fan-out) is the already-Draft RFC 0118, shipped as "
0175,rides-accepted,host-extension,explicit-gate,false,"**RFC gate: none.** ⚠️ **Explicitly rejected (would need an RFC):** promoting `slack`/`discord`/`telegram` to first-class `TriggerEvent.source` enum members (so"
0176,host-extension,host-extension,explicit-gate,true,"**RFC gate: none.** ⚠️ **Blast-radius flag (design invariant, not a wire issue):** the ONLY way billing becomes non-additive is if plan-gating fans checks into "
0177,host-extension,host-extension,explicit-gate,true,"**RFC gate: none.** Pure host-extension; the two public surfaces (storefront, Stripe webhook) compose existing seams (PUBLIC_PATH_PREFIXES / connections-inbound"
0178,host-extension,host-extension,verdict-section,true,"**Host-internal — no new RFC.** Caps, usage accounting, and the soft-warning field are all host-side; the enforcement unit (tokens) and the warning signal never"
0178,new-rfc,unclassified,verdict-section,false,"Speaking UCP does **not** touch the OpenWOP wire:"
0179,rides-accepted,rides-accepted,verdict-section,true,"Rides **Active RFC 0121** (the rail portion). Host-extension only — the seam lives under `/v1/host/sample/*` (non-normative), the discovery `authModes` field is"
0180,rides-accepted,rides-accepted,verdict-section,true,"**Host-extension — rides Active RFC 0121; no new RFC.** The advertisement value (`aiProviders.authModes:'subscription'`) is RFC 0121's wire vocabulary (already "
0181,new-rfc,host-extension,inline,false,"**Surface:** a NEW non-normative **client** surface (a native shell that wraps the existing React SPA). **NO new RFC.** The shell is a browser wrapper over the "
0182,new-rfc,rides-accepted,inline,false,"**Surface:** a local **provider shim** (a small loopback daemon; later a `openwop provider serve` verb on the existing CLI) + operator config on a **self-hosted"
0183,host-extension,host-extension,inline,true,"**Track:** A (Software & App Architecture) — host-extension only; **no OpenWOP wire change → no RFC**."
0184,unclassified,unclassified,explicit-gate,true,"1. **Do not ship cosmetic decoupling.** Retyping `connectionRef` to a capability token, or swapping in a capability node the template can't satisfy, would eithe"
0185,unclassified,host-extension,inline,false,"Add **`vendor`** as a presentational, host-only grouping dimension on the connector catalog — a direct parallel to the existing capability **`category`** field,"
0186,host-extension,host-extension,inline,true,"## The RFC gate — resolved: no new RFC"
0187,host-extension,host-extension,inline,true,"**Surface:** host runtime (a per-tenant egress policy at the brokered-fetch chokepoint) + a superadmin governance route. **NON-NORMATIVE — no new RFC.** It adve"
0188,unclassified,host-extension,verdict-section,false,"None — host-internal presentation over already-accepted surfaces (RFC 0095"
0188,rides-accepted,unclassified,verdict-section,false,"Consuming UCP outbound does **not** touch the OpenWOP wire — symmetric to ADR 0178:"
0189,host-extension,host-extension,inline,true,"## The RFC gate — no new RFC"
0190,new-rfc,host-extension,inline,false,"| 5 | `core.web.search` unified onto the `host.webResearch` surface (ADR 0101's workflow leg — live with a key, honest `demo` without, `stub` only in bare-ctx h"
0191,host-extension,host-extension,inline,true,"This is a host-config decision (a compiled default), **not** a wire change — no RFC. It changes behavior for every deployment of this app, including the MyndHyv"
0192,new-rfc,host-extension,explicit-gate,false,"**RFC verdict: none.** Host-ext routes + host-internal projections only. Presence / typing / delivery-receipts remain RFC-gated exactly per ADR 0126; nothing he"
0193,host-extension,unclassified,verdict-section,false,"- `ctx.email` is a **host capability** (`host.email`); the send node is"
0194,host-extension,host-extension,inline,true,"**Surface:** authed superadmin `/v1/host/openwop-app/feature-toggles/admin/*` (host-extension, NON-NORMATIVE — no wire, no new RFC)"
0195,host-extension,host-extension,verdict-section,true,"**Host-extension / posture only — NO new RFC required.** Every change is a"
0195,host-extension,host-extension,explicit-gate,true,"**RFC verdict: none.** Host-ext routes + host-internal stores; no wire surface."
