num,slug,status,gate,correction,rfcRefs
0081,insights-suite-completion,Superseded,host-extension,yes,3
0082,insights-suite-on-workflows,Implemented,rides-accepted,yes,5
0083,run-output-artifacts-and-preview,Implemented,host-extension,,0
0084,research-notebooks,Implemented,rides-accepted,yes,7
0085,audio-video-source-ingestion,Implemented,new-rfc,yes,4
0086,multi-speaker-podcasts,Implemented,rides-accepted,,3
0087,notebooks-as-mcp-tools,Implemented,rides-accepted,,2
0088,run-read-authz-and-sse-channel,Implemented,host-extension,yes,1
0089,chat-driven-agent-tool-loop,Implemented,host-extension,,3
0099,tool-output-compaction,Implemented,host-extension,yes,0
0100,planning-knowledge-base,Implemented,host-extension,yes,0
0101,fold-profile-into-instructions-and-enforce-guardrails,Accepted,rides-accepted,,2
0101,provider-native-web-search,Implemented,host-extension,yes,3
0102,chat-history-persistence-and-authorship,Implemented,host-extension,,2
0102,per-tool-permission-enforcement,Accepted,rides-accepted,,2
0103,priority-schedule-status,Implemented,new-rfc,,0
0104,superadmin-agent-toolallowlist-editor,Implemented,host-extension,,2
0105,governing-tool-calls-on-the-heartbeat-path,Implemented,host-extension,,2
0106,media-generation-cost-governance,Implemented,host-extension,,0
0107,knowledge-sync-sources,Implemented,host-extension,,3
0108,media-to-text-llm,Implemented,rides-accepted,,2
0109,realtime-voice-session,Implemented,rides-accepted,,7
0110,headless-ai-provider-default,Implemented,host-extension,,1
0111,long-form-audio-file-api,Implemented,host-extension,,0
0112,conversation-full-text-search,Implemented,host-extension,yes,1
0113,kb-reranking-hybrid-retrieval,Implemented,rides-accepted,,3
0114,sandboxed-code-execution-node,Implemented,new-rfc,yes,2
0115,image-generation-node,Implemented,new-rfc,,2
0116,prompt-library,Implemented,new-rfc,,1
0117,conversation-branching-and-compare,Implemented,rides-accepted,,1
0118,llm-observability-otel,Implemented,rides-accepted,yes,2
0119,conversation-export-import,Implemented,host-extension,,1
0120,chat-memory-auto-extraction,Implemented,rides-accepted,yes,2
0121,local-model-provider-support,Implemented,new-rfc,,3
0122,shared-public-conversation-links,Implemented,host-extension,,0
0123,eval-feedback-leaderboard,Implemented,rides-accepted,,3
0124,in-chat-model-switch,Implemented,rides-accepted,,5
0125,recurring-scheduled-agent-chats,Implemented,new-rfc,,2
0126,team-channels-realtime-messaging,Implemented,new-rfc,,3
0127,public-embeddable-chat-widget,Implemented,host-extension,,1
0128,interactive-artifacts-canvas,Implemented,host-extension,,2
0129,chat-math-and-diagram-rendering,Implemented,host-extension,,1
0130,rule-based-model-router,Implemented,host-extension,,1
0131,collection-view-canon,Implemented,unclassified,yes,0
0132,per-conversation-capability-scope,Implemented,rides-accepted,yes,2
0133,run-task-deck,Implemented,new-rfc,,0
0134,graduate-chat-features-always-on,Implemented,rides-accepted,yes,1
0135,capability-firewall,Implemented,host-extension,yes,5
0136,intent-ledger,Implemented,rides-accepted,,1
0137,ambient-work-graph,Implemented,rides-accepted,,1
0138,live-voice-mode,Implemented,rides-accepted,,6
0139,configurable-navigation-menu,Implemented,host-extension,,0
0140,multi-tab-chat-deck,Missing,host-extension,,1
0141,realtime-voice-sessions,Implemented,host-extension,yes,1
0142,realtime-voice-governance-boundary,Accepted,rides-accepted,,1
0143,localized-error-envelopes,Implemented,host-extension,,1
0144,access-hub-credentials-access-console,Implemented,host-extension,yes,1
0145,surface-rehoming-chat-and-platform-declutter,Implemented,unclassified,yes,0
0146,code-exec-reference-sandbox,Withdrawn,new-rfc,yes,2
0147,unified-composer-voice-control,Implemented,unclassified,,1
0148,context-economy-token-budgeted-host-assembly,Implemented,rides-accepted,yes,5
0149,real-work-workflow-library,Accepted,new-rfc,yes,5
0150,ai-chat-permission-mode,Implemented,rides-accepted,yes,1
0151,conversation-auto-titling,Implemented,rides-accepted,yes,1
0152,workflow-chain-pack-loader,Implemented,rides-accepted,yes,2
0153,canvas-projects-program,Implemented,new-rfc,yes,3
0154,channels-into-unified-chat-surface,Implemented,new-rfc,yes,1
0155,campaign-studio-brand-guardrails,Implemented,rides-accepted,yes,3
0156,campaign-studio-personas-brief,Implemented,host-extension,,2
0157,campaign-studio-channel-generation,Implemented,host-extension,,0
0158,campaign-studio-orchestration,Implemented,rides-accepted,,2
0159,campaign-studio-connectors-performance,Implemented,rides-accepted,,1
0160,campaign-studio-intelligence,Implemented,host-extension,,0
0161,campaign-orchestration-canvas-reconciliation,Implemented,host-extension,,0
0162,campaign-studio-publish-last-mile,Implemented,host-extension,,0
0163,workflow-pack-templates,Implemented,new-rfc,yes,2
0164,model-selector-parity-across-chat-surfaces,Implemented,host-extension,yes,0
0165,rfc-0118-parallel-fan-out-witness,Implemented,host-extension,,4
0166,campaign-studio-publish-remaining-channels-to-documents,Implemented,new-rfc,,0
0167,campaign-studio-real-ad-dispatch,Implemented,new-rfc,yes,5
0168,headless-profile-and-first-party-cli,Superseded,rides-accepted,yes,2
0169,rfc-0120-provider-apihosts-witness,Implemented,host-extension,,4
0170,brand-identity-app-and-marketing-consolidation,Implemented,host-extension,yes,2
0171,customizable-token-based-theming,Implemented,host-extension,,0
0172,production-intelligence-vendor-directory,Implemented,host-extension,yes,2
0173,code-export-multi-framework,Implemented,host-extension,yes,3
0174,market-intelligence-completion,Implemented,new-rfc,yes,5
0175,messaging-gateway,Implemented,rides-accepted,yes,5
0176,subscriptions-billing,Implemented,host-extension,yes,1
0177,e-commerce,Implemented,host-extension,yes,2
0178,byok-llm-spend-governance,Proposed,host-extension,,1
0178,ucp-universal-commerce-protocol,Implemented,new-rfc,yes,5
0179,rfc-0121-subscription-scope-safety-rail,Proposed,rides-accepted,,3
0180,rfc-0121-subscription-at-own-risk,Implemented,rides-accepted,,1
0181,native-desktop-mobile-shell,Implemented,new-rfc,,1
0182,self-hosted-local-executor-subscription-cli,Accepted,new-rfc,,2
0183,manual-test-runner-feature-parity,Accepted,host-extension,,0
0184,pack-chain-provider-decoupling,Accepted,unclassified,,0
0185,connector-catalog-vendor-grouping,Implemented,unclassified,,2
0186,capability-dispatch-provider-agnostic-nodes,Implemented,host-extension,,1
0187,egress-firewall,Implemented,host-extension,,2
0188,first-run-vendor-setup,Implemented,unclassified,,1
0188,ucp-buyer-client,Implemented,rides-accepted,yes,5
0189,mid-run-connection-interrupt,Implemented,host-extension,,2
0190,evidence-based-template-catalog-expansion,Implemented,new-rfc,yes,2
0191,lighthouse-templates-work-out-of-the-box,Implemented,host-extension,yes,1
0192,channels-ux-identity-parity,Accepted,new-rfc,yes,0
0193,real-email-sending,Implemented,host-extension,,1
0194,feature-dependency-graph-and-lifecycle,Implemented,host-extension,,1
0195,fail-closed-production-posture,Accepted,host-extension,yes,1
0195,message-affordances-conversation-primitive,Accepted,host-extension,yes,0
0196,enterprise-posture-showcase-and-developer-tools-gating,Implemented,host-extension,yes,0
0197,schema-driven-run-input-forms,Implemented,host-extension,yes,0
0198,approval-delegation-and-sign-off-templates,Implemented,rides-accepted,,1
0199,realtime-voice-context-awareness,Implemented,host-extension,yes,0
0200,data-ops-templates,Implemented,rides-accepted,yes,2
0200,feature-chain-consolidation,Implemented,host-extension,yes,0
0201,smtp-transport-tcp-egress-firewall,Proposed,host-extension,,3
0202,agent-native-channels,Implemented,host-extension,yes,0
0203,admin-tier-page-enforcement,Implemented,unclassified,,0
0204,cms-orchestration-composition,Implemented,rides-accepted,,2
0205,cms-locale-governance,Implemented,new-rfc,yes,1
0206,cms-editor-surfacing,Implemented,host-extension,yes,0
0207,chain-edge-conditions,Implemented,host-extension,yes,1
0208,crm-orchestration-wiring,Implemented,host-extension,,4
0208,edge-condition-control-flow,Implemented,unclassified,,2
0209,crm-record-lifecycle-ops,Implemented,host-extension,,0
0210,crm-decision-intelligence,Implemented,unclassified,,1
0211,crm-engagement-and-segments,Implemented,unclassified,,0
0212,csm-crm-linkage,Implemented,unclassified,,0
0213,crm-custom-field-types-and-deferrals,Implemented,unclassified,,1
0214,channel-activity-notifications,Accepted,host-extension,,0
0215,campaign-live-metrics-sync,Implemented,rides-accepted,,1
0216,campaign-workspace-fields-and-templates,Implemented,host-extension,,0
0217,campaign-suppression-and-audience-sync,Implemented,host-extension,,0
0218,email-engagement-tracking,Implemented,host-extension,yes,0
0219,campaign-attribution-floor,Implemented,host-extension,yes,0
0220,campaign-budget-pacing,Implemented,rides-accepted,,1
0221,commerce-governance-wiring,Implemented,host-extension,,0
0222,campaign-journey-chains,Implemented,rides-accepted,,1
0223,ad-dispatch-production-payloads,Implemented,rides-accepted,,3
0224,commerce-transaction-graph,Implemented,host-extension,,0
0225,commerce-surfaces-and-loops,Implemented,unclassified,,1
0226,identity-floor-session-contact-link,Implemented,host-extension,,0
0227,per-channel-consent-preference-center,Implemented,host-extension,,0
0228,commerce-phase-d-floors,Implemented,unclassified,,1
0229,campaign-creative-asset-operations,Implemented,host-extension,,2
0229,planning-surfaces-on-by-default,Implemented,unclassified,,0
0230,planning-governance-wiring,Implemented,host-extension,,1
0231,kr-measurement-loop,Implemented,host-extension,,3
0232,pm-intake-evidence-promotion,Implemented,host-extension,,0
0233,board-pack-and-decision-records,Implemented,host-extension,,0
0234,timeline-and-scoring-integrity,Implemented,host-extension,,0
0235,planning-floors,Implemented,host-extension,,0
0236,cms-page-experiments,Implemented,host-extension,,1
0237,node-inputs-expansion-and-interpolation,Implemented,rides-accepted,yes,2
0238,commerce-money-completeness,Implemented,new-rfc,,1
0239,commerce-scale-and-search-honesty,Implemented,unclassified,,1
0240,commerce-depth-attributes-deals-mandates,Implemented,unclassified,,0
0241,email-bounce-complaint-ingestion,Implemented,host-extension,,0
0242,html-email-and-open-tracking,Implemented,host-extension,,0
0243,journey-depth,Implemented,new-rfc,,3
0244,broker-resolved-image-credentials,Implemented,unclassified,,2
0245,ad-targeting-and-email-provenance,Implemented,host-extension,,0
0246,intel-email-provenance-rollup,Implemented,host-extension,,0
0247,forms-intake-portal,Implemented,new-rfc,,3
0248,email-opens-in-attribution,Implemented,host-extension,,0
0249,soft-bounce-escalation,Implemented,host-extension,,0
0250,commerce-carrier-rates-and-multi-provider-tax,Implemented,unclassified,,1
0250,deferred-parameter-mode,Implemented,host-extension,yes,4
0251,suppression-cause-analytics,Implemented,host-extension,,0
0252,gmail-inbox-crm-activity-sync,Implemented,rides-accepted,yes,2
0253,image-connection-use-provenance,Implemented,unclassified,,1
0254,ap2-conformant-eddsa-jcs-signing,Implemented,unclassified,,1
0255,segment-winback-engine-gap,Accepted,new-rfc,,5
0256,authored-markdown-email-body,Implemented,host-extension,,0
0257,shared-custom-fields-seam-typed-product-fields,Implemented,host-extension,,0
0258,ucp-buyer-mcp-transport,Implemented,unclassified,yes,0
0259,priority-matrix-idea-crud,Implemented,host-extension,,0
0260,reference-ucp-merchant,Implemented,host-extension,,1
0261,user-picker-by-name,Implemented,host-extension,,0
0262,cdp-customer-data-platform-program,Proposed,new-rfc,yes,4
0263,cdp-a-customer-identity-resolution,Implemented,host-extension,yes,0
0264,cdp-b-probabilistic-match-steward-reversible-merge,Implemented,unclassified,,0
0265,cdp-c-behavioral-segments-traits-insights-propensity,Other,host-extension,yes,0
0266,cdp-d-destination-sync-hub-cdc-reverse-etl,Other,new-rfc,yes,2
0267,cdp-e-journey-runtime-timers-segment-trigger-experiments,Other,host-extension,,0
0268,cdp-f-purpose-consent-field-masking-label-acl,Implemented,new-rfc,,1
0269,cdp-g-event-schema-registry-collection-sdks-ingest-pii,Accepted,new-rfc,yes,2
0270,cdp-h-developer-platform-scoped-keys-connector-cert,Implemented,host-extension,,3
0271,commerce-merchandising-program,Proposed,host-extension,,0
0272,sales-territory-management,Implemented,rides-accepted,yes,5
0273,merch-a-recommendations-upsell-crosssell,Implemented,host-extension,,0
0274,merch-b-promotions-loss-leaders,Implemented,host-extension,,0
0275,merch-c-discovery-search-collections-merch-rules,Implemented,host-extension,yes,0
0276,merch-d-bundles-composite-products,Implemented,host-extension,,0
0277,agent-identity-and-knowledge-composition-reconciliation,Implemented,host-extension,yes,0
0278,canonical-board-conversation,Implemented,host-extension,yes,2
0279,merch-e-product-subscriptions,Implemented,host-extension,,0
0280,sales-commissions,Implemented,rides-accepted,,2
0281,dealer-network-prm,Implemented,host-extension,,0
0282,dynamic-sales-maps,Implemented,rides-accepted,,2
0283,crm-record-lifecycle-seam,Implemented,host-extension,,0
0284,tenant-teardown-hostext-purge,Implemented,host-extension,yes,0
0285,connection-lifecycle-seam,Implemented,host-extension,,0
0286,cdp-streaming-cdc-consumer,Accepted,rides-accepted,,4
0287,engine-table-retention,Implemented,unclassified,,0
0288,roster-and-conversation-lifecycle-seams,Implemented,unclassified,,0
0289,openwop-host-destination-egress-cross-host-purpose-carry,Accepted,host-extension,,2
0290,cdp-data-residency-admission-gate,Accepted,host-extension,,3
0291,shell-white-label-branding-and-posture,Implemented,unclassified,,0
0292,cdp-d-warehouse-reverse-etl-write,Implemented,host-extension,yes,0
0292,resilient-example-data-seeding,Accepted,host-extension,,0
0293,funnel-program,Implemented,host-extension,,0
0294,funnel-a-funnel-entity-builder-analytics,Implemented,host-extension,,0
0295,funnel-b-custom-domain-hosting,Implemented,host-extension,,0
0296,funnel-c-order-bumps-one-click-upsell-chains,Implemented,host-extension,,0
0297,funnel-d-adjacent-monetization-surfaces-ruling,Implemented,unclassified,,0
0298,cdp-g-batch-csv-import,Implemented,host-extension,,0
0299,cdp-e-cross-journey-arbitration,Accepted,host-extension,,0
0300,frontend-plugin-loader-rfc-0117-0119,Implemented,host-extension,,2
0301,cdp-f-audit-hash-chain,Implemented,new-rfc,,0
0302,cdp-purpose-vocab-registry,Accepted,new-rfc,,1
0303,rfc-0123-connection-pack-provider-vendor,Implemented,rides-accepted,,3
0303,user-facing-tutorials,Implemented,unclassified,,0
0304,spoken-multi-agent-voice-delegation-live-boardroom,Accepted,host-extension,,1
0305,app-builder-editor-parity-program,Implemented,host-extension,yes,0
0306,app-builder-github-publish,Accepted,unclassified,,0
0307,app-builder-ide-bridge-scoping,Accepted,unclassified,,0
0308,tool-grounded-commitments-agent-deliverable-tools,Implemented,host-extension,,0
0309,scheduled-followup-agent-tool,Implemented,host-extension,,0
0310,canvas-editor-framework,Accepted,new-rfc,yes,2
0311,agent-commitment-todos-conversation-approvals,Implemented,host-extension,yes,0
0312,skills-vs-agents-taxonomy,Implemented,host-extension,,5
0313,activate-the-autonomous-work-loop,Implemented,host-extension,,0
0314,documents-creation-hub-canvas-gallery,Accepted,host-extension,,0
0315,default-on-agent-tool-baseline,Implemented,unclassified,,1
0316,canvases-browser-page,Superseded,host-extension,,0
0317,direct-manipulation-elements-canvases,Accepted,unclassified,,1
0318,heartbeat-admin-settings,Implemented,host-extension,,0
0319,canvases-into-documents-single-type-toggle,Accepted,unclassified,,0
0320,preferred-name-for-agent-address,Implemented,host-extension,,0
0321,demo-provision-idempotency-and-seed-lock,Accepted,unclassified,,0
0322,byok-credential-for-walkie-stt-tts,Implemented,unclassified,,0
0323,app-builder-screen-flow-graph,Accepted,host-extension,,0
0324,voice-chat-tool-scope-parity,Implemented,unclassified,,0
0325,app-builder-ai-node-depth,Accepted,unclassified,yes,1
0326,executor-durability,Implemented,host-extension,yes,0
0327,conversation-stack-decomposition,Implemented,unclassified,,0
0328,slides-best-in-class-program,Implemented,host-extension,,0
0329,per-locale-i18n-chunks,Implemented,unclassified,,0
0330,forms-standalone-capture-primitive,Implemented,host-extension,yes,0
0331,shared-form-renderer-cms-section-hosted-fill,Implemented,host-extension,,0
0332,funnel-optin-capture,Implemented,host-extension,,0
0333,drawing-best-in-class-program,Implemented,new-rfc,,0
0334,canvas-document-rich-text-editor,Implemented,new-rfc,yes,1
0335,realtime-canvas-collaboration,Implemented,new-rfc,,1
0336,deep-linkable-urls-and-notification-targets,Implemented,host-extension,,0
0337,appbuilder-myndhyve-parity-graph-first,Implemented,unclassified,,0
0338,email-consent-sink-and-submit-guards,Accepted,host-extension,,0
0339,spa-funnel-viewer,Accepted,unclassified,,0
0340,canvas-catalog-label-i18n,Implemented,unclassified,,0
0341,replay-fork-side-effect-suppression,Implemented,unclassified,,2
0342,app-builder-application-model-program,Implemented,new-rfc,yes,0
0343,app-builder-application-document-facets,Implemented,rides-accepted,yes,1
0344,canvas-chassis-authoring-mechanics,Implemented,unclassified,,0
0345,app-builder-interactive-runtime,Implemented,host-extension,,0
0346,app-builder-pack-native-ai-pipeline,Implemented,host-extension,yes,3
0347,app-builder-signed-content-ecosystem,Implemented,host-extension,,2
0348,app-builder-production-output-contract,Implemented,unclassified,,0
0349,app-builder-governed-deployment-scoping,Accepted,unclassified,,0
0350,documents-surface-per-doc-urls-and-markdown-native-editor,Implemented,host-extension,,0
0351,kb-retrieval-fidelity-and-strict-grounding,Implemented,host-extension,yes,0
0352,media-intelligence-metadata-selection-dedup,Implemented,host-extension,yes,0
0353,creative-briefs-feature,Other,host-extension,yes,0
0354,brand-guardrails-enforcement-and-hierarchy,Implemented,host-extension,yes,0
0355,channel-generation-qa-enforcement,Implemented,rides-accepted,yes,2
0356,campaign-workspace-setup-gates-production-loop,Implemented,host-extension,yes,1
0357,campaign-intelligence-goal-budgeting-anomaly-apply-gate,Implemented,host-extension,yes,0
0358,app-builder-ai-exchange-remediation,Implemented,unclassified,yes,1
0359,canvas-collab-core-standardization,Implemented,host-extension,yes,1
0360,campaign-funnel-board,Accepted,unclassified,,0
0361,workflow-editorsurface-mount,Implemented,unclassified,yes,0
0362,selection-toolbar-quick-props,Accepted,unclassified,,0
0363,authored-content-accessibility,Implemented,host-extension,yes,0
0364,workflow-collab-binding,Accepted,host-extension,,0
0365,canvas-chrome-blocks,Accepted,unclassified,yes,0
